user_name,emp_name,email_id,phone_number,emp_address,emp_password,emp_role,salary,specialization
Kelly Thompson,Matthew Mckee,benjaminallison@example.com,0426153329,"USNS Zuniga
FPO AA 98560",1#6FJJ)ywF,chef,67109,French
Benjamin Patel,Shannon Joseph,deannajohnson@example.com,+1-057-984-6473,"PSC 6131, Box 8012
APO AA 29169",$jmX*4v!C5,chef,55811,South Sudanese 
Justin Ortiz,Tony Martin,patrick32@example.org,247.476.2794x4203,"738 Jill Shoal
Bryanton, NH 04796",@4g9j$DjMM,chef,68726,East African
Jeffrey Hall,Jennifer Johnson,tristan88@example.net,131.053.8796,"20101 Alexander Row Apt. 646
East Mathew, TN 84643",#_DCycLJT9,chef,46278,Santomean
Melissa Simmons,Melvin Woodward,saramathis@example.net,136-751-2866x50070,"179 Moore Haven Apt. 173
Lisashire, GA 26573",I&a38oIuHZ,chef,58208,Eritrean
Brittany Franklin,Stephanie Parks,zwalker@example.org,767-599-9819x153,"51033 Clark Trace
South Rebecca, FL 05791",Y3QU7gQg)Q,chef,77620,Tanzanian
Jean Phillips,Sarah Kim,smarshall@example.org,+1-917-661-4897x4852,"7163 Fuller Ville Suite 449
New Justinside, NM 79987",3@0EdB$qfQ,chef,66500,Congolese
Ms. Amy Moore,Jeffrey Hernandez,uwatts@example.org,001-580-599-3875x554,"Unit 3144 Box 6949
DPO AA 06781",^l7wQSwmc),chef,60280,Chadian
Courtney Crane,Angela Watts,evanskatherine@example.com,115.247.4563x8355,"452 Debra Coves
West Scott, NJ 93660",E!*2CtWsz%,chef,53258,Lebanese
David Madden,Shannon Carrillo,gregorymckenzie@example.net,+1-139-133-9594x369,"9404 Richardson Dam Suite 806
Leachtown, NM 60942",6$C8TXVj!o,chef,43426,Chadian
Ryan Roberson,Hayden Harris,patriciajohnson@example.org,(423)397-4019,"8708 Lori Field
East Billy, VA 83290",a8XXIL9y_(,chef,62358,Lebanese
Leah Bennett,Vincent Jones,lowebrendan@example.org,001-052-008-1241x448,"882 Davis Mountain Suite 906
East Mariachester, DC 50154",8^(9NSp(&%,chef,44154,Lebanese
Debbie Brandt,Diane Yang,newmanchristine@example.com,(833)484-9875,"USS Holloway
FPO AP 02065",^l6&7TOP5_,chef,39661,Djiboutian
Virginia Harding,Deborah Barr,fthomas@example.org,270.275.6324,"0380 James Forge Suite 244
Derrickside, IL 64462",dFd9HNWa%Z,chef,43105,Bolivian
Rachel Willis,Susan Davis,hvalenzuela@example.org,001-614-619-1057x7012,"51435 Atkins Lane
West Kristenview, DC 09322",&+zy1Y@hx#,chef,67322,Lebanese
Stefanie Jones,Nicholas Lopez,imiller@example.net,001-181-431-0773,"538 Goodwin Hollow
Rebeccabury, MT 47237",T3F&Bwgq@G,chef,36569,Zanzibari
Steven Meyer,Regina Brown,alexis14@example.com,(159)629-0185x7597,"30900 Hailey Mount
Mitchellchester, KY 82761",^WLY4&of_5,chef,78405,Argentinian
Dan Martinez,Luis Scott,walkercody@example.com,981-375-5052x0927,"65536 Santiago Coves
East Nicole, MN 50037",D#5tW9fEdO,chef,70663,Angolan
Beth Mendez,Jacqueline Marsh,kevinmartinez@example.com,(514)753-6271x58958,"9200 Jimmy Drive
Lake Andreaside, MO 62339",h4@@aWzA@b,chef,53005,North African
Tyler Perez,Bryan Herring,sarah96@example.org,358.336.8453x63891,"114 Brian Brooks
Mooreburgh, TN 13055",@#9d@Um9&r,chef,53497,Kenyan
Julie Watson,Ashley Hubbard,paul54@example.com,399.811.6554,"20175 Deborah Squares Apt. 297
North Rebekah, MI 59208",&(eNQEuq(0,chef,75587,Maasai
Chelsea Stevenson,Robert Baker,laurenreilly@example.net,+1-266-503-8560,"04145 Gray Crest Suite 858
Whitakerfort, DC 52801",75HbtxM4!),chef,31213,Djiboutian
Jesse Beard,Isaiah Hill,thomasramsey@example.com,698.686.9685,"5475 Wilson Harbors Suite 094
Victoriabury, WA 56793",0T9sHlqc!v,chef,36047,Lebanese
Edward Bryant,James Smith,nolanjoseph@example.net,+1-324-480-0265,"09565 James Rue
New Bethany, AL 14160",fBE3^+va5*,chef,70930,South Sudanese 
Jordan Carter,Kendra Curtis,simpsonrebecca@example.org,257-956-0438x314,"57299 Steven Rapid Suite 618
Heatherton, MD 99650",+1yS5Df9RJ,chef,72051,Gabonese
Christopher Robinson,Robert Bryan,blowe@example.com,+1-470-870-1378x8469,"17816 Monica Vista Apt. 592
Port Jerry, MO 88445",$o37Niy)bo,chef,51396,Gabonese
Cynthia Thompson,Kayla Whitehead,ronald68@example.com,768-003-0252x25855,"524 Richard Streets Apt. 201
North Elizabeth, UT 54484",KR@8A+zSK6,chef,72266,Argentinian
Courtney Harris,Mark Smith,carolburnett@example.com,001-878-405-7625x843,"2553 Bruce Creek
Port Williamtown, HI 65158",+LmIczZyr4,chef,75110,Angolan
Misty Lowe,Jacqueline Martin,ebonyvasquez@example.net,165-717-5854x00824,"47757 Wilson Street
East Erica, TX 49200",#Jzs1cUaQH,chef,45937,Burundian 
Mary Scott,Neil Huang,ahughes@example.net,337.464.5005x9413,"88111 Benjamin Loaf
Morganshire, VA 49862",EJZXCzp*+3,chef,30449,Djiboutian
Adrian Atkinson,Hunter West,urobinson@example.org,(150)603-4771,"3344 Richard Expressway Suite 574
Zamoraport, MD 13179",)eE%7EzULE,chef,30121,Burundian 
Matthew Carter,Derrick Robinson,gperez@example.org,001-375-285-8208x163,"30486 Autumn Spring
South Joshuaburgh, NJ 98976",G9YT@#8s&i,chef,39194,Eritrean
Kendra Hughes,Jessica Bender,shannonrobinson@example.net,(648)437-1658x994,"35744 Martin Gardens
Meganberg, NM 38817",r^u6T9iS3q,chef,55436,Tanzanian
Nancy Hunt,Samantha Stafford,william97@example.net,316.115.3112x52158,"Unit 5907 Box 6462
DPO AA 34088",G@3X&0RxuY,chef,56080,Burundian 
Brandon Barron,Lauren Davis,allenjessica@example.com,001-177-028-9575x93229,"6359 Johnson Streets Suite 889
Angelaport, IL 86820",(R4p4AxxHT,chef,48512,Equatorial Guinea
Mark Johnson,Kara Lee,oscar31@example.com,(789)838-2004x12532,"8962 Jennifer Drive
Ashleyland, UT 56824",*yBkDmXbn4,chef,61463,Chadian
Troy Wilkinson,William Maxwell,nfowler@example.org,001-428-267-6181x534,"210 Ashley Roads Apt. 897
Lake Andrea, OH 34925",#1MSHsxR_T,chef,41565,Congolese
Carla Burton,Monica Cox,jameshanson@example.com,001-266-860-6874x8505,"470 Amy Summit Apt. 356
Lake Stacy, TX 54968",21D5FShy)q,chef,57158,Djiboutian
Charles Ward,Gregory Contreras,lauren39@example.com,016-453-7792x48841,"163 Mary Turnpike
Port Jeremyborough, MD 24670",_3yEToLdO9,chef,52624,Somali
Randy Walker,Kayla Nguyen,laura44@example.org,496-769-4201,"4192 Valerie Cove
Port Dawn, MS 21485",z2$2FfK8&J,chef,36797,Santomean
John Hansen,Alexandra Taylor,fergusonmichelle@example.com,+1-001-946-2781x051,"861 Shaffer Route
Port Lindabury, OH 80752",w7EfwJua#E,chef,64967,Lebanese
William Curry,Alec Cochran,emathews@example.net,887-277-7340,"505 Smith Club Suite 915
West Jessefort, IN 61881",n2+W_Ct_&8,chef,38515,Bolivian
Robert Shields,Hannah Thompson,edwardsmatthew@example.org,001-885-207-5354x528,"2924 Wesley Walks Suite 502
Mathewmouth, MA 02384",yA%KDM(m!8,chef,73477,Angolan
Robert Green,Casey Contreras,xwalker@example.net,(418)960-0928,"560 Baker Track
South Billyville, OK 18486",@pt5mT6$%^,chef,59744,Centrafrican
Robyn Graham,Mary Johnson,marybrown@example.org,532-664-5023x7427,"888 Richard Estates Apt. 677
West Brucefurt, OK 37670",TwB9X_uF!S,chef,58023,Kenyan
Dr. Paul King,Edward Nguyen,jamesmiller@example.org,001-221-063-5335,"31546 Delgado Lodge
East Christieburgh, NH 52319",(98GxjYj4I,chef,69841,Eritrean
Stephanie Hanson,Tyler Gibbs MD,mariowall@example.org,820.572.8176,"363 Danielle Falls Apt. 235
Lake Lukehaven, NE 38057",&q4TGkpwC3,chef,62497,Kenyan
Stephen Smith,Lucas Perez,cgarza@example.net,(889)738-2092x0572,"193 Watson Harbors Suite 947
Brownton, IN 82164",N^yX1U3XGo,chef,41210,Santomean
Elizabeth Baldwin,Karen Riggs,sturner@example.net,608-361-6954,"37107 Amanda Creek Suite 877
Port Christophermouth, NJ 85738",S_&8p3MvE&,chef,77116,Angolan
Kyle Tran,Christopher Benson,hchristensen@example.net,484.259.5964,"84081 Roy Courts
Port Johnton, ND 38264",^o*q#SPJo3,chef,36961,Congolese
Kristy Chang,Jennifer Daniels,robert03@example.org,+1-714-793-5183x6888,"4801 Derrick Drive
Lake Juliatown, WI 02594",m86SAbE)(1,chef,55806,Burundian 
Samantha King,Anthony Allen,jameslyons@example.org,+1-175-869-0162x14037,"78898 Hill Track Apt. 610
West Joseland, DC 62709",(7WsW*oCNB,chef,65201,East African
Shannon Morgan,Debbie Hess,angela77@example.net,+1-734-232-7366x889,"4487 Collins Junctions Suite 849
Garyshire, FL 56111",$wPKwCeQw3,chef,42759,Chadian
Kristina Parker,Brett Watkins,bradshawbrandon@example.org,590.677.5601x283,"364 Mills Squares Suite 528
Powellberg, LA 47218",a71Lu83nj),chef,63224,South Sudanese 
Julie Shaw,Kaylee Johnson,millermichael@example.net,001-668-548-6883x5419,"552 Jackson Knolls Suite 955
New Jermainefurt, WI 94136",21(YLKho@+,chef,79249,Santomean
Jennifer Robertson,Jennifer Delgado,edward60@example.net,001-755-848-0884x3239,"797 Jacqueline River Apt. 251
West Alexis, ID 29209",+DXNncoHe4,chef,68400,South Sudanese 
Angela Larson,Crystal Lin,russellberry@example.net,072-419-5697,"590 Reed Lodge
Adamston, NY 98221",^gCtL0s(a7,chef,60142,Chadian
Carla Black,Ricky Trevino,kelly77@example.com,283.164.6102x5035,"524 Cynthia Inlet
East Kaitlyn, MI 41887",$$q6YhHzlf,chef,36643,Ugandan
Brian Cook,Matthew Hamilton,thunt@example.net,174-894-3200x1955,"99177 Campbell Key
New Ryanshire, NC 11553",!xs13WYt_x,chef,60530,Angolan
Robert Cooper,Sean Bailey,dillon69@example.com,001-962-412-2172x126,"464 Christopher Radial
South Jacob, IL 70716",!9Pb3Yfbye,chef,50835,Rwandan
Lori Olson,Charles Christensen,farrellcynthia@example.com,001-438-192-3538,"799 Scott Crescent Suite 519
South Dale, VT 93645",pj6kKRImM^,chef,54949,French
Cheryl Anderson,Emily Davis,james04@example.org,(284)060-8926x867,"73929 Michael Pass
Davidview, WI 94930",&KiOUwA&_7,chef,43990,Chadian
Lynn Davis,Kathleen Baker,juliereed@example.com,(008)311-8702x864,"6823 Turner Ports
Patrickmouth, MN 40776",m4BL^eFh^H,chef,51850,Tanzanian
Jessica Hill,Steven Baker,jonathanrogers@example.net,803-609-6628,"8696 Thomas Village
Lake Manuel, DC 76371",HqMEXW@g_7,chef,47778,Equatorial Guinea
Angela Lee,Alicia Murphy,gonzalesmelissa@example.org,+1-798-245-6917x661,"3446 Terry Pine
Christyland, HI 54371",pOjKn4Up#3,chef,73907,Ugandan
Gregory Palmer,Christian Orr,mreed@example.com,3088026741,"PSC 5117, Box 4663
APO AA 56079",YfDyYxzK&8,chef,31079,Ugandan
Raymond Bridges,Nathan Andersen,madeline42@example.org,572.036.8600x93869,"85672 Brown Station
Jonesside, CA 81663",&&x7EGZbJq,chef,42978,Somali
Jacqueline Kim MD,Beverly Cohen,cassandra47@example.com,+1-611-656-5434x25294,"37375 Douglas Highway
Smithburgh, AK 61690",Jg8Qa)dKi%,chef,39398,Gabonese
Jessica Walker,Brian Aguirre,petersonjoseph@example.net,001-845-415-0849x429,"381 Bond Mountains
Harmonburgh, VA 87175",QT4VvijT*x,chef,52219,Tanzanian
Robert Hopkins,Matthew Dodson,stacywells@example.com,(267)993-4440,"043 Jimenez Dam Suite 258
Maryhaven, NV 63957",1rbNDe8O$8,chef,78452,Santomean
Beth Richmond,Andrea Ayers,yolanda33@example.com,001-369-877-0279x3087,"USCGC Mccoy
FPO AE 20670",+h5Zsz6(qF,chef,57865,Argentinian
Jacqueline Hernandez,Noah Watts,esmith@example.net,570.410.9762x2922,"18612 Weaver Loop
Port Corey, LA 39953",SZ7TOOCn*!,chef,33068,Tanzanian
Candice Petty,Tyler Christensen,stran@example.org,551-075-3051x876,"45107 Garcia Rapid
East Tammy, WY 62673",zc9VselE@H,chef,77991,South Sudanese 
Brandon Mccarthy,Natalie Simmons,icampbell@example.com,001-905-238-2898x63206,"USNS Anderson
FPO AP 74772",)sQ$CAbg9N,chef,40524,Argentinian
Jamie Watson,Casey Wilson,goodbrittney@example.com,(329)823-2342x4587,"328 Jeffery Cliff Suite 192
Zimmermanport, MT 47958",$mFO4ue#O0,chef,56963,Tanzanian
Jesse Jennings,Vanessa Sanders,patriciawilkerson@example.com,+1-675-553-9058x184,"39844 Victoria Ridges Suite 048
East Garyville, AK 89026",)(qV(eEtl5,chef,75646,Burundian 
Lisa Dominguez,Kelly Knapp,iallen@example.org,797.042.9437x82447,"10530 Campos Court Suite 268
West Brettport, MI 84595",0^@Gup5g&8,chef,50881,Rwandan
Steven Scott,Kelli Hill,wrightdevin@example.net,(459)429-5080,"0679 Joann Springs Suite 619
South Brianside, AK 67371",j()u7Ucwc@,chef,75297,Chadian
Reginald Hayes,Sarah Crawford,cory98@example.org,001-050-749-9536x2874,"PSC 4144, Box 1559
APO AP 75684",(7n(Qp$mdB,chef,58080,Cameroonian
Amy Scott,Robert Ferguson,leslietucker@example.org,001-384-822-8284x0698,"9082 Lawrence Union
Lloydville, WV 19210",Qef7oUb3(n,chef,70308,Tanzanian
