user_name,emp_name,email_id,phone_number,emp_address,emp_password,emp_role,salary,skill
Maria Mendoza MD,Alice Edwards,dgarrett@example.net,+1-719-591-4389x3737,"74866 Johnson Oval Suite 403
Johnhaven, NY 42135",Oy^s7VWcvu,manager,50544,trainee-manager
Jerry Gardner,Justin Beard,tracyburgess@example.net,001-568-695-4146x59847,"20086 Amy Camp
North Veronica, SD 78368",+3FOuxfa!0,manager,62055,db-manager
Ms. Emily Castro MD,Cindy Smith,ronald26@example.org,940.593.2229,"56121 Larsen Spurs Apt. 136
Taylortown, PA 02839",@ft_7GbcCz,manager,69396,trainee-manager
Collin Cook,Shelby May,alecmartinez@example.net,+1-670-625-9058,"9686 Ingram Manors
North Stacy, HI 89311",YO27Gl83(b,manager,47201,chef-manager
Justin George,Brandon Campbell,littlesean@example.net,(236)022-7214x853,"3412 Denise Plains
Leeberg, TN 69039",y@q6qTWyLy,manager,30029,db-manager
Monica Boyd,Sarah Silva,ricky42@example.org,589-696-5392x51144,"20516 Ochoa Vista
Joshuabury, WA 38001",fcO6Zc6t&C,manager,58593,attendant-manager
Anna Brown,Karina Brady,zacharybrooks@example.net,644-368-5757x7972,"144 Jenna Islands
Garciaberg, NV 69670",MOD7miLg^F,manager,42158,trainee-manager
Jessica Reed,Christine Casey,leonard39@example.net,(170)263-7085,"833 Nguyen Springs Suite 921
Debraville, WA 91897",_zXw2BsFs_,manager,67242,attendant-manager
Laura Wright,Courtney Lloyd,lori56@example.net,721-925-3900x9684,"USNV Jenkins
FPO AP 27055",a0OpmSbx!r,manager,61034,attendant-manager
Jennifer Meyer,Ronald Hughes,vanessa58@example.net,914-850-5659x3417,"470 Michelle Landing
South Zacharyhaven, ME 05066",dC8pWi7b^K,manager,32748,chef-manager
Karen Rojas,Michael Jones,ebennett@example.org,114-662-7775,"8070 Anthony Avenue Apt. 731
South Christina, UT 06783",@v!21Qhc%J,manager,58366,chef-manager
Theresa Walker,Jennifer Le,kellyolson@example.org,(974)908-5724x290,"Unit 9432 Box 8086
DPO AE 47400",^0$p%rVy_1,manager,53952,db-manager
Julie Russell,Nancy Clay,ayersemily@example.net,001-009-942-9273x223,"011 Morris Mission
Troystad, VT 30471",UVI4J6caQ#,manager,73679,cleanliness-manager
