user_name,emp_name,email_id,phone_number,emp_address,emp_password,emp_role,salary,fired,skill
Laura Kim,Ronald Mccoy,hooverjessica@example.net,758-832-9063x028,"31762 Scott Creek Suite 936
Port Alishafurt, TN 66877",19J%R9cW&#,manager,50544,False,trainee-manager
William Harrell,Mary Hanson,joelgarner@example.org,054-971-8063x48018,"0246 Christopher Forest Suite 204
Patriciafort, SC 83245",*ET+5XjwAQ,manager,62055,False,db-manager
James Joseph,Louis Smith,bnelson@example.com,(499)060-2757,"PSC 7137, Box 1454
APO AA 64936",*^3K_Oluxp,manager,69396,False,trainee-manager
Joshua Shaffer,Andrew Dickson,joseph28@example.org,001-136-587-5257x47013,"073 Key Islands Suite 719
Mitchellborough, ME 56031",iMIf#JpA%4,manager,47201,False,chef-manager
Patricia Hobbs,Maria Atkinson,baileyjoshua@example.com,+1-369-598-6529x58790,"Unit 6148 Box 8790
DPO AA 14635",_wp30TUdn#,manager,30029,False,db-manager
Darlene Weaver,Richard Jones,rraymond@example.com,+1-785-002-5044,"0343 Steven Stravenue
Lisafort, MA 88590",$54s#wY#q4,manager,58593,False,attendant-manager
Kevin Thompson,Susan Reeves,barrettstephanie@example.net,080-729-2288x811,"900 Kelly Plaza Suite 667
Ramoshaven, MO 69073",Xe)7(zTcdV,manager,42158,False,trainee-manager
Frank Adams,Kimberly Reese,allencollin@example.org,421.059.6847x375,"019 Tracy Hollow
Smithville, OK 69666",fV8NNqwob%,manager,67242,False,attendant-manager
Diane Shepard,Elizabeth Ortiz,sdominguez@example.com,9167133419,"4631 Adams Knolls Suite 202
West Justin, AZ 79995",un#84C^yqy,manager,61034,False,attendant-manager
Bailey Berger,Connie White,emily98@example.com,(269)401-3418x096,"89572 Bailey Mountain Apt. 796
New Michael, IA 43407",0OiH89Ps#L,manager,32748,False,chef-manager
Trevor Woods,Brandy Davis MD,edward69@example.org,742-627-3506x2287,"132 Dominic Spur
New Phillipview, MN 03581",^4Bdd)(NuI,manager,58366,False,chef-manager
Veronica Parks,Holly Benton,andersenrobin@example.org,(293)127-9892x7459,"3883 Aaron Meadows
East Shari, MO 17528",+w3Ftwp$@y,manager,53952,False,db-manager
Aaron Jones,Joseph Santos,john94@example.net,320-949-0307,"32459 Lee Dale
West Johnathan, ME 50525",O!nw78GhH8,manager,73679,False,cleanliness-manager
Anthony Pruitt,Penny Jackson,anthony40@example.com,+1-692-522-6549,"2092 Wesley Way
New Lisaville, AK 60067",9YNzWubc!2,manager,73357,False,attendant-manager
Patrick Wang,Lisa Bennett,qstokes@example.com,652.494.5364x12169,"22424 Kaitlyn Shoals
Whitneyburgh, AK 69409",+S4a+*v!3+,manager,61753,False,hr-manager
Emily Smith,Vanessa Macdonald,juliansheppard@example.com,394.947.5552x29352,"286 Larry Fork Apt. 055
North Linda, SC 80154",$47E5pLbvl,manager,74198,False,stock-manager
Jamie Reed,Jordan Mitchell,ptorres@example.com,829.185.6171,"5508 Jodi Ridges
Lake Charles, WY 54148",an9PdPme$o,manager,76013,False,trainee-manager
Nicholas Rivera,Anna Roberts,andrewpope@example.com,001-928-078-9490x7421,"28379 Michelle Spurs
Powellchester, NC 87799",)O6KlJZml^,manager,44080,False,head-manager
Jennifer Howard,Stanley Scott,david11@example.net,+1-401-625-4734x8918,"675 Snyder Stravenue
Stacyborough, MI 92803",X7FIK*a&^E,manager,43964,False,hr-manager
Pamela Caldwell,Kristy Jones,christopher49@example.net,921.633.9337,"0840 Jennifer Ramp Apt. 675
North Beth, OR 13849",*F9+R@hwP&,manager,52119,False,trainee-manager
Todd Roberts,Michael Roman,lflowers@example.org,460.519.6051x1623,"194 Sheena Mews Apt. 349
South Pamelabury, MT 59133",)3BY0BaUof,manager,72658,False,attendant-manager
Crystal Hart,Diana Williams,moodytommy@example.com,001-792-304-9755x18928,"173 Hunt Pike
New Sabrina, RI 41291",$g3M2b&3Z$,manager,72259,False,trainee-manager
Leslie Hernandez,Tammy Yoder,kleinkim@example.com,(700)553-3563x1199,"898 Jennifer Estate
Lindamouth, PA 56916",%6cvHCSnEu,manager,73029,False,db-manager
Sean Lane,Michael Alexander,ckoch@example.com,001-298-786-5863,"671 James Manor Apt. 174
West Shawn, NJ 51216",&95)5CQo(9,manager,43825,False,trainee-manager
David Foley,Barbara Oconnor,jessica92@example.com,0120750687,"69039 Hannah Village
New Darinhaven, MO 15403",_m89jV#ekT,manager,74133,False,db-manager
Gina Ramos,Melinda Palmer,michaelpugh@example.org,551-609-0632,"13018 Anderson Prairie
West Deborah, PA 40076",33)4ANrleM,manager,31143,False,stock-manager
Francisco Waters,Daniel Whitney,ghall@example.com,082.860.0692,"995 Gallagher Trafficway Suite 601
Alexandratown, LA 54057",+0PQesUeF8,manager,51521,False,stock-manager
Sarah Smith,Jennifer Watts,amber27@example.com,(067)490-7395x171,"460 Powell Estates
Wilsonshire, NH 93199",zw$1LJfA^Z,manager,74592,False,stock-manager
Amanda Martin,Alyssa Watkins,fhoward@example.net,615-223-7360,"PSC 7676, Box 3460
APO AP 94043",!Wq8KHmmN0,manager,50911,False,chef-manager
Erin Waters,Heather Harris PhD,rodriguezrickey@example.net,+1-219-025-8459,"85961 Lee Green Suite 654
South Tristanshire, DC 48808",(yy_D3nj3E,manager,72128,False,stock-manager
Jackie Parsons,Daniel Richards,williamschad@example.org,762-714-9446x111,"0998 Justin Unions Suite 220
Fernandezmouth, MD 29873",@V*7ZLnYQ3,manager,47031,False,cleanliness-manager
Sarah Mason,Haley Howell,carl74@example.com,001-501-781-2930x524,"060 Smith Glens Apt. 409
New Madison, AZ 29806",e3RBbm5R@P,manager,34932,False,db-manager
Barry Andrews,Crystal Murray,nicholas14@example.net,5535980361,"8139 Steven Radial Suite 153
West Terryport, HI 84359",N^#35WUa%v,manager,51400,False,db-manager
Tracy Lawson,Meghan Cook,jlevy@example.org,907-253-7250x31447,"80358 Blanchard Avenue
North Nicholas, OH 13345",gZsYHETo_0,manager,63667,False,chef-manager
Bryan Yates,Bradley Mann,jsmith@example.org,001-094-546-1136x3616,"3480 Richard Fall
South Danabury, TX 33638",QleZY)EP!0,manager,79977,False,head-manager
Laura Miller,Austin Jackson,alexander63@example.org,505.515.5338,"0041 Moore Bridge Apt. 108
South Eugene, GA 19885",q9F3XmVa!4,manager,45858,False,attendant-manager
Cristian Phillips,Sandra Reyes,bushmegan@example.org,701.547.6989x83095,"428 Brenda Estate Suite 423
Lake Sarah, DC 71435",*FOUAJyF7N,manager,75073,False,chef-manager
Mark Moore,Carol Davis,taylortodd@example.com,+1-602-608-9640x3326,"13734 Michelle Plains Suite 124
Joshuaside, MD 92341",TDc!1Ebqhm,manager,77354,False,cleanliness-manager
Kristen Jackson,Rachel Solis,davidvelasquez@example.org,(525)423-1945x1012,"09491 Hunt Shoal
Lake Chelsea, MA 54551",E9f@EFz$+%,manager,33813,False,chef-manager
